gateway,share_pct,window_days
kraken,41.34158088728543,30
bitstamp,27.739278307331187,30
coinbase,27.370978098973985,30
exmo,3.3033528979065365,30
paymium,0.22396878310862417,30
cex.io,0.020841025394234613,30
coinbase,34.737263176626776,180
kraken,33.59117503855014,180
bitstamp,28.8766613970752,180
exmo,2.4425165964720725,180
paymium,0.30470086070319674,180
cex.io,0.04768293057261694,180
coinbase,34.7387616376708,365
kraken,33.472673596488896,365
bitstamp,28.896896664813966,365
exmo,2.520167713433536,365
paymium,0.2943021911266946,365
cex.io,0.07719819646611363,365
