USD,EUR,GBP,JPY,CNY,CAD,HKD,CHF,AUD,SGD,SEK,PLN,NOK,DKK,NZD,MXN,THB,ZAR,TRY,date,pdf,R5_proxy,quarter,HHI_month
47.01,22.56,7.41,6.02,3.61,3.04,1.61,1.94,1.85,1.41,0.94,0.8,0.72,0.53,0.54,0.46,0.48,0.3,,2024-10-01,rmb-tracker_october-2024_v2.pdf,3.61,2024Q4,0.28472286999999996
47.04,22.9,7.31,5.66,2.93,3.12,1.89,1.89,1.93,1.38,0.95,0.71,0.64,0.6,0.5,0.48,0.97,0.32,,2024-11-01,rmb-tracker_november-2024.pdf,2.93,2024Q4,0.2857436
47.68,22.29,7.27,4.98,3.89,2.61,1.68,1.82,1.69,1.49,0.9,0.73,0.64,0.61,0.54,0.48,0.96,0.28,,2024-12-01,rmb-tracker_december-2024.pdf,3.89,2024Q4,0.28846816
49.12,21.74,6.94,5.09,3.75,3.03,1.58,1.81,1.62,1.36,0.78,0.77,0.59,0.48,0.34,0.52,0.91,0.25,0.19,2025-01-01,rmb-tracker_january-2025.pdf,3.75,2025Q1,0.29960560999999997
50.17,21.98,6.91,5.42,3.79,2.93,1.58,1.75,1.48,1.27,0.81,0.75,0.61,0.38,0.32,0.47,0.29,0.26,0.21,2025-02-01,rmb-tracker_february-2025.pdf,3.79,2025Q1,0.31118392
48.95,22.25,6.89,5.29,4.33,2.44,1.88,1.78,1.51,1.38,0.86,0.8,0.61,0.38,0.35,0.43,0.27,0.28,0.22,2025-03-01,rmb-tracker_march-2025.pdf,4.33,2025Q1,0.30046142000000003
49.08,21.93,6.64,5.62,4.13,2.9,1.91,1.89,1.6,1.24,0.96,0.67,0.55,0.39,0.34,0.44,0.28,0.28,0.22,2025-04-01,rmb-tracker_april-2025-1.pdf,4.13,2025Q2,0.30045694999999994
49.68,22.24,6.51,5.7,3.5,2.93,1.73,1.79,1.43,1.31,0.91,0.74,0.39,0.57,0.33,0.43,0.26,0.26,0.2,2025-05-01,rmb-tracker_may-2025.pdf,3.5,2025Q2,0.30707047
48.46,23.56,7.06,3.7,2.89,3.11,1.91,1.73,1.49,1.43,0.88,0.79,0.44,0.38,0.34,0.47,0.27,0.27,0.21,2025-06-01,rmb-tracker_june-2025.pdf,2.89,2025Q2,0.29981719
47.19,23.87,7.59,3.84,2.88,3.43,1.88,1.93,1.52,1.48,0.85,0.78,0.47,0.34,0.32,0.47,0.27,0.29,,2025-07-01,rmb-tracker_july-2025.pdf,2.88,2025Q3,0.29029938
47.94,23.11,7.24,3.56,2.88,3.04,2.02,1.73,1.75,1.47,1.0,0.86,0.66,0.37,0.34,0.48,0.25,0.29,0.2,2025-08-01,rmb-tracker_august-2025.pdf,2.88,2025Q3,0.29300843
46.94,25.61,6.76,3.37,2.93,2.96,2.11,1.6,1.48,1.42,0.74,0.72,0.52,0.5,0.36,0.45,0.25,0.29,0.22,2025-09-01,rmb-tracker_september-2025.pdf,2.93,2025Q3,0.29469691
47.79,22.77,7.38,3.69,3.17,2.82,1.97,1.92,1.63,1.42,0.87,0.82,0.58,0.32,0.4,0.48,0.3,0.32,0.27,2025-10-01,rmb-tracker_october-2025-v2.pdf,3.17,2025Q4,0.29032031999999997
46.71,23.98,7.82,3.83,2.47,3.33,1.72,1.99,1.59,1.46,0.91,0.77,0.55,0.39,0.36,0.53,0.27,0.31,0.32,2025-11-01,rmb-tracker_november-2025.pdf,2.47,2025Q4,0.28640113
