date,refyear_clean,refmonth_clean,refperiodid,period,freqcode,refyear,refmonth,flowcode,flowdesc,reportercode,reporteriso,reporterdesc,partnercode,partneriso,partnerdesc,cmdcode,cmddesc,cifvalue,fobvalue,primaryvalue,qty,alt_qty,net_wgt,gross_wgt,qtyunitcode,qtyunitabbr,altqtyunitcode,altqtyunitabbr,isreported,isaggregate,isleaf,aggrlevel
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,20,AND,Andorra,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",2747371.666,,2747371.666,63.414,0.0,63.414,0.0,8,kg,-1,,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,24,AGO,Angola,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",11631.829,,11631.829,0.0,0.0,,0.0,-1,,-1,,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,28,ATG,Antigua and Barbuda,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",1652.341,,1652.341,0.05,0.05,0.05,0.0,8,kg,8,kg,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,31,AZE,Azerbaijan,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",2111983184.22,,2111983184.22,49607.044,49607044.0,49607.032,0.0,8,kg,15,g,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,32,ARG,Argentina,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",14741.6,14338.02,14741.6,2.14,2.14,2.14,0.0,8,kg,8,kg,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,36,AUS,Australia,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4720111499.358,4707193371.824,4720111499.358,112652.74,0.0,112652.74,0.0,8,kg,-1,,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,40,AUT,Austria,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",844316515.801,,844316515.801,19134.344,0.0,19134.344,0.0,8,kg,-1,,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,44,BHS,Bahamas,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",6272.956,,6272.956,1.51,0.0,1.51,0.0,8,kg,-1,,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,48,BHR,Bahrain,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",218551648.55,0.0,218551648.55,5061.611,5061611.25,5166.695,0.0,8,kg,15,g,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,51,ARM,Armenia,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",114498514.79,0.0,114498514.79,2510.304,2510303.76,2972.044,0.0,8,kg,15,g,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,52,BRB,Barbados,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",1336.0,,1336.0,1.02,0.0,1.02,0.0,8,kg,-1,,False,True,False,4
2019-01-01,2019,1,20190101,2019,A,2019,52,M,Import,56,BEL,Belgium,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",915100923.396,0.0,915100923.396,23103.615,0.0,27952.408,0.0,8,kg,-1,,False,True,False,4
