date,rmb_global_share_pct,rmb_international_share_pct,rmb_global_rank,source
2024-09-01,3.61,2.57,5,SWIFT RMB Tracker
2024-10-01,2.93,2.3,5,SWIFT RMB Tracker
2024-11-01,3.89,3.02,4,SWIFT RMB Tracker
2024-12-01,3.75,2.8,4,SWIFT RMB Tracker
2025-01-01,3.79,2.7,4,SWIFT RMB Tracker
2025-02-01,4.33,3.04,4,SWIFT RMB Tracker
2025-03-01,4.13,2.85,4,SWIFT RMB Tracker
2025-04-01,3.5,2.38,5,SWIFT RMB Tracker
2025-05-01,2.89,2.09,6,SWIFT RMB Tracker
2025-06-01,2.88,2.12,6,SWIFT RMB Tracker
2025-07-01,2.88,2.11,6,SWIFT RMB Tracker
2025-08-01,2.93,2.01,6,SWIFT RMB Tracker
2025-09-01,3.17,2.34,5,SWIFT RMB Tracker
2025-10-01,2.47,1.87,6,SWIFT RMB Tracker
