Date,Price,Open,High,Low,Change %
1971-02-01,120.26,120.26,120.29,120.12,0.02
1971-03-01,120.17,120.25,120.25,120.13,-0.07
1971-04-01,120.19,120.18,120.31,120.16,0.02
1971-05-01,119.43,120.17,120.17,118.91,-0.63
1971-06-01,119.16,119.69,119.69,119.16,-0.23
1971-07-01,118.76,119.17,119.21,118.76,-0.34
1971-08-01,116.47,118.79,118.81,116.47,-1.93
1971-09-01,114.93,116.58,116.58,114.93,-1.32
1971-10-01,114.65,114.81,114.88,114.53,-0.24
1971-11-01,114.01,114.63,114.68,113.93,-0.56
1971-12-01,111.21,113.86,113.86,111.16,-2.46
1972-01-01,109.6,111.19,111.27,109.6,-1.45
1972-02-01,108.68,109.43,109.43,108.56,-0.84
1972-03-01,108.4,108.65,109.19,107.76,-0.26
1972-04-01,108.62,108.4,108.85,108.27,0.2
1972-05-01,108.17,108.58,108.58,108.17,-0.41
1972-06-01,108.51,108.12,108.77,107.97,0.31
1972-07-01,108.76,108.61,108.79,108.46,0.23
1972-08-01,108.96,108.77,109.03,108.76,0.18
1972-09-01,109.39,108.98,109.39,108.91,0.39
1972-10-01,109.9,109.51,109.98,109.22,0.47
1972-11-01,109.85,109.75,109.93,109.73,-0.05
1972-12-01,110.14,109.87,110.2,109.87,0.26
1973-01-01,109.01,110.2,110.31,109.0,-1.03
1973-02-01,100.13,108.79,109.05,100.13,-8.15
1973-03-01,101.17,99.69,101.17,98.72,1.04
1973-04-01,101.43,101.46,101.69,100.97,0.26
1973-05-01,98.0,101.4,101.49,98.0,-3.38
1973-06-01,93.88,97.56,97.63,93.88,-4.2
1973-07-01,92.91,93.42,94.22,90.54,-1.03
1973-08-01,95.77,92.87,96.42,92.87,3.08
1973-09-01,94.79,95.78,95.78,94.3,-1.02
1973-10-01,95.06,94.74,95.19,93.78,0.28
1973-11-01,100.35,95.3,100.9,95.3,5.56
1973-12-01,102.39,100.59,102.4,100.59,2.03
1974-01-01,105.9,103.66,109.5,103.66,3.43
1974-02-01,103.03,106.21,106.21,102.19,-2.71
1974-03-01,99.51,103.69,103.74,99.06,-3.42
1974-04-01,98.49,99.92,100.9,98.22,-1.03
1974-05-01,99.77,98.48,100.1,96.86,1.3
1974-06-01,100.16,99.56,101.16,99.08,0.39
1974-07-01,100.54,100.43,100.68,98.96,0.38
1974-08-01,103.18,100.62,103.18,100.62,2.63
1974-09-01,102.48,103.16,103.44,102.46,-0.68
1974-10-01,101.26,102.2,102.35,101.16,-1.19
1974-11-01,99.57,101.08,101.39,99.14,-1.67
1974-12-01,97.29,99.99,99.99,97.29,-2.29
1975-01-01,95.61,97.71,97.71,94.43,-1.73
1975-02-01,93.0,95.88,96.41,92.93,-2.73
1975-03-01,94.82,92.82,94.87,92.82,1.96
1975-04-01,95.39,94.45,95.9,94.45,0.6
1975-05-01,94.63,95.36,95.44,94.24,-0.8
1975-06-01,95.86,94.53,95.86,94.36,1.3
1975-07-01,101.25,96.07,101.25,96.07,5.62
1975-08-01,101.79,101.3,101.98,100.92,0.53
1975-09-01,104.24,101.89,104.81,101.69,2.41
1975-10-01,101.61,103.46,103.95,101.61,-2.52
1975-11-01,103.53,101.59,103.53,101.59,1.89
1975-12-01,103.51,103.37,103.92,103.17,-0.02
1976-01-01,103.88,103.49,103.88,102.91,0.36
1976-02-01,103.66,103.52,103.81,102.95,-0.21
1976-03-01,105.34,104.01,106.02,104.01,1.62
1976-04-01,106.23,105.37,106.57,105.37,0.84
1976-05-01,107.29,106.29,107.29,105.61,1.0
1976-06-01,106.64,107.39,107.6,106.64,-0.61
1976-07-01,106.56,106.59,107.21,106.53,-0.08
1976-08-01,106.13,106.39,106.88,106.0,-0.4
1976-09-01,105.5,105.94,106.01,105.37,-0.59
1976-10-01,105.94,105.82,106.31,105.25,0.42
1976-11-01,106.19,106.1,106.19,105.56,0.24
1976-12-01,104.56,106.23,106.23,104.52,-1.53
1977-01-01,105.54,104.17,106.01,104.09,0.94
1977-02-01,105.26,105.7,105.79,105.08,-0.27
1977-03-01,105.03,105.28,105.5,104.88,-0.22
1977-04-01,104.39,104.93,105.04,104.39,-0.61
1977-05-01,104.52,104.41,104.76,104.22,0.12
1977-06-01,103.84,104.51,104.55,103.82,-0.65
1977-07-01,102.86,103.8,103.8,101.78,-0.94
1977-08-01,103.64,102.97,103.83,102.66,0.76
1977-09-01,103.21,103.69,103.99,103.21,-0.41
1977-10-01,100.96,102.69,102.91,100.96,-2.18
1977-11-01,100.37,100.42,101.46,100.0,-0.58
1977-12-01,96.44,100.15,100.15,96.44,-3.92
1978-01-01,96.64,95.21,97.87,94.99,0.21
1978-02-01,94.6,96.81,97.1,94.57,-2.11
1978-03-01,93.84,94.56,96.1,93.84,-0.8
1978-04-01,95.62,93.4,96.19,93.4,1.9
1978-05-01,95.46,95.58,97.11,95.39,-0.17
1978-06-01,93.53,95.45,95.58,93.53,-2.02
1978-07-01,90.94,93.17,93.23,90.94,-2.77
1978-08-01,90.0,90.9,91.13,88.0,-1.03
1978-09-01,88.83,89.73,90.54,88.67,-1.3
1978-10-01,83.07,88.88,88.88,82.07,-6.48
1978-11-01,90.22,86.68,90.22,86.68,8.61
1978-12-01,86.5,90.63,90.63,86.5,-4.12
1979-01-01,88.86,86.52,88.86,86.52,2.73
1979-02-01,88.18,89.24,89.25,87.35,-0.77
1979-03-01,88.53,88.28,88.59,88.09,0.4
1979-04-01,89.98,88.98,89.98,88.98,1.64
1979-05-01,90.53,90.11,91.02,89.55,0.61
1979-06-01,87.85,90.82,90.82,87.71,-2.96
1979-07-01,87.31,87.89,87.89,86.02,-0.61
1979-08-01,87.19,86.97,87.46,86.91,-0.14
1979-09-01,85.45,87.26,87.47,85.45,-2.0
1979-10-01,88.95,85.43,89.12,85.43,4.1
1979-11-01,86.79,88.79,89.02,86.79,-2.43
1979-12-01,85.82,85.98,87.05,85.51,-1.12
1980-01-01,86.14,85.32,86.14,84.79,0.37
1980-02-01,87.65,86.13,87.65,85.62,1.75
1980-03-01,93.58,87.85,93.58,87.85,6.77
1980-04-01,88.11,94.22,94.88,88.01,-5.85
1980-05-01,85.93,88.22,88.9,85.15,-2.47
1980-06-01,85.2,86.09,86.09,84.75,-0.85
1980-07-01,86.08,85.1,86.08,84.12,1.03
1980-08-01,85.85,86.49,86.86,85.45,-0.27
1980-09-01,86.02,85.19,86.29,85.08,0.2
1980-10-01,88.38,85.75,88.38,85.43,2.74
1980-11-01,90.01,88.64,90.12,88.43,1.84
1980-12-01,90.39,90.55,92.66,89.86,0.42
1981-01-01,95.24,90.51,95.24,88.95,5.37
1981-02-01,97.06,94.82,98.18,94.59,1.91
1981-03-01,96.76,97.95,97.95,94.24,-0.31
1981-04-01,100.45,96.28,100.45,96.28,3.81
1981-05-01,104.95,100.28,105.36,100.28,4.48
1981-06-01,107.71,104.99,108.47,104.99,2.63
1981-07-01,111.72,108.52,111.72,108.52,3.72
1981-08-01,110.28,114.03,114.88,110.01,-1.29
1981-09-01,107.73,110.76,110.76,103.84,-2.31
1981-10-01,106.13,107.57,108.65,103.86,-1.49
1981-11-01,103.18,104.99,105.35,103.18,-2.78
1981-12-01,104.69,103.65,106.46,103.37,1.46
1982-01-01,108.03,104.62,108.78,104.62,3.19
1982-02-01,111.93,109.32,111.93,109.14,3.61
1982-03-01,114.73,111.96,114.73,110.28,2.5
1982-04-01,111.6,114.16,115.36,111.6,-2.73
1982-05-01,112.79,111.51,112.79,109.7,1.07
1982-06-01,119.04,113.71,120.47,113.25,5.54
1982-07-01,119.05,119.33,121.06,116.12,0.01
1982-08-01,120.29,117.8,121.41,116.95,1.04
1982-09-01,122.2,120.03,122.76,118.78,1.59
1982-10-01,124.78,122.14,124.78,121.23,2.11
1982-11-01,121.0,124.36,126.02,121.0,-3.03
1982-12-01,117.36,121.03,121.45,117.05,-3.01
1983-01-01,121.12,116.97,121.12,115.43,3.2
1983-02-01,120.35,120.99,122.28,118.02,-0.64
1983-03-01,122.21,120.79,122.65,118.97,1.55
1983-04-01,122.39,122.27,122.43,121.14,0.15
1983-05-01,123.79,122.04,123.79,120.9,1.14
1983-06-01,124.94,124.68,126.21,124.25,0.93
1983-07-01,128.44,124.98,128.44,124.98,2.8
1983-08-01,130.84,129.68,131.94,128.09,1.87
1983-09-01,128.35,130.74,130.77,128.35,-1.9
1983-10-01,128.4,128.15,128.44,126.21,0.04
1983-11-01,130.64,129.23,131.36,128.9,1.74
1983-12-01,131.79,130.78,134.05,130.78,0.88
1984-01-01,135.51,133.19,136.15,133.19,2.82
1984-02-01,128.25,134.65,134.65,128.25,-5.36
1984-03-01,128.22,128.68,129.97,126.18,-0.02
1984-04-01,132.64,128.36,132.64,128.36,3.45
1984-05-01,133.69,132.95,135.06,132.1,0.79
1984-06-01,136.26,132.0,136.9,131.5,1.92
1984-07-01,141.29,136.7,141.29,136.7,3.69
1984-08-01,140.33,141.71,141.71,139.01,-0.68
1984-09-01,147.55,141.92,149.3,141.92,5.15
1984-10-01,146.39,147.05,150.09,145.49,-0.79
1984-11-01,149.21,144.76,149.21,142.32,1.93
1984-12-01,151.47,149.51,151.47,147.47,1.51
1985-01-01,152.72,152.23,153.89,151.8,0.83
1985-02-01,160.41,153.47,164.72,153.47,5.04
1985-03-01,149.18,161.04,163.83,149.18,-7.0
1985-04-01,149.7,150.65,153.16,144.83,0.35
1985-05-01,147.86,151.57,154.52,147.06,-1.23
1985-06-01,146.12,146.94,149.41,145.92,-1.18
1985-07-01,137.26,146.44,146.61,137.26,-6.06
1985-08-01,138.2,138.42,139.85,135.56,0.68
1985-09-01,132.12,139.91,144.19,131.55,-4.4
1985-10-01,129.39,131.15,132.38,129.39,-2.07
1985-11-01,124.99,128.69,129.44,124.77,-3.4
1985-12-01,123.46,124.42,127.68,123.24,-1.22
1986-01-01,121.52,123.71,125.21,121.03,-1.57
1986-02-01,115.08,121.78,123.26,113.45,-5.3
1986-03-01,117.92,114.94,118.71,113.66,2.47
1986-04-01,111.77,117.78,121.16,110.76,-5.22
1986-05-01,117.51,112.28,117.65,110.35,5.14
1986-06-01,111.61,117.83,118.03,111.34,-5.02
1986-07-01,108.04,111.26,112.09,107.98,-3.2
1986-08-01,106.43,107.85,108.72,106.31,-1.49
1986-09-01,106.74,106.76,108.98,104.92,0.29
1986-10-01,109.27,106.83,109.77,104.99,2.37
1986-11-01,105.92,109.67,109.69,105.91,-3.07
1986-12-01,103.58,105.53,107.94,103.55,-2.21
1987-01-01,99.86,104.44,104.48,97.19,-3.59
1987-02-01,99.26,99.29,101.21,97.87,-0.6
1987-03-01,97.11,99.17,100.44,96.81,-2.17
1987-04-01,95.94,97.73,98.44,95.25,-1.2
1987-05-01,97.77,95.83,97.91,94.75,1.91
1987-06-01,98.13,98.3,99.06,96.0,0.37
1987-07-01,99.79,98.03,100.23,97.97,1.69
1987-08-01,97.32,99.77,101.74,96.95,-2.48
1987-09-01,98.57,97.04,98.69,95.97,1.28
1987-10-01,93.65,98.63,98.81,93.26,-4.99
1987-11-01,89.15,93.24,93.36,89.03,-4.81
1987-12-01,85.42,89.99,90.79,85.33,-4.18
